admin1Pcode,admin2Pcode,year,area_planted_rai,area_harvested_rai,production_ton,yield_planted_kg_rai,yield_harvest_kg_rai
TH10,TH1003,2012,66777,66521,45101,675,678
TH10,TH1003,2013,66490,66174,44800,674,677
TH10,TH1003,2014,59422,59395,39438,664,664
TH10,TH1003,2015,51256,49434,33467,653,677
TH10,TH1003,2016,53404,52884,34903,654,660
TH10,TH1003,2017,51952,51432,34511,664,671
TH10,TH1003,2018,50043,49834,33189,663,666
TH10,TH1003,2020,51120,51100,34850,682,682
TH10,TH1005,2012,915,897,509,556,567
TH10,TH1005,2013,1022,1022,585,572,572
TH10,TH1005,2014,743,743,418,563,563
TH10,TH1005,2015,662,662,371,560,560
TH10,TH1005,2016,743,743,461,620,620
TH10,TH1005,2017,635,635,409,644,644
TH10,TH1005,2018,544,544,325,597,597
TH10,TH1005,2020,470,470,320,681,681
TH10,TH1010,2012,4135,4063,2917,705,718
TH10,TH1010,2013,3873,3805,2721,703,715
TH10,TH1010,2014,3332,3326,2358,708,709
TH10,TH1010,2015,2745,2745,1916,698,698
TH10,TH1010,2016,2976,2956,2031,682,687
TH10,TH1010,2017,2810,2790,1947,693,698
TH10,TH1010,2018,2034,2029,1428,702,704
TH10,TH1010,2020,2795,2795,1937,693,693
TH10,TH1011,2012,15863,15689,10261,647,654
TH10,TH1011,2013,15638,15599,10171,650,652
TH10,TH1011,2014,12582,12582,8090,643,643
TH10,TH1011,2015,9256,9238,6005,649,650
TH10,TH1011,2016,12302,12246,7911,643,646
TH10,TH1011,2017,12168,12168,8359,687,687
TH10,TH1011,2018,11158,11158,7710,691,691
TH10,TH1011,2020,11690,11685,8121,695,695
TH10,TH1023,2013,117,117,79,678,678
TH10,TH1023,2014,136,136,89,654,654
TH10,TH1023,2015,80,80,52,650,650
TH10,TH1023,2016,73,73,47,644,644
TH10,TH1023,2018,54,54,34,630,630
TH10,TH1023,2020,106,106,58,547,547
TH10,TH1027,2016,10,10,7,700,700
TH10,TH1027,2017,20,20,14,700,700
TH10,TH1032,2013,62,62,40,651,651
TH10,TH1032,2014,62,62,39,629,629
TH10,TH1032,2015,62,62,38,613,613
TH10,TH1032,2016,62,62,38,613,613
TH10,TH1032,2017,62,62,39,629,629
TH10,TH1032,2018,62,62,36,581,581
TH10,TH1032,2020,90,90,62,689,689
TH10,TH1035,2012,20987,20060,12598,600,628
TH10,TH1035,2013,19164,18187,11531,602,634
TH10,TH1035,2014,14827,14827,9015,608,608
TH10,TH1035,2015,14518,14425,8727,601,605
TH10,TH1035,2016,12149,12056,7306,601,606
TH10,TH1035,2017,12235,12154,7487,612,616
TH10,TH1035,2018,13003,12929,7822,602,605
TH10,TH1035,2020,16614,16546,9845,593,595
TH10,TH1040,2013,36,36,24,679,679
TH10,TH1040,2014,36,36,24,667,667
TH10,TH1040,2016,43,43,28,651,651
TH10,TH1042,2012,2248,2225,1540,685,692
TH10,TH1042,2013,2019,1963,1353,670,689
TH10,TH1042,2014,2000,2000,1310,655,655
TH10,TH1042,2015,1523,1469,1002,658,682
TH10,TH1042,2016,1346,1330,876,651,659
TH10,TH1042,2017,1120,1120,703,628,628
TH10,TH1042,2018,931,931,596,640,640
TH10,TH1042,2020,1090,1090,732,672,672
TH10,TH1043,2012,392,385,275,702,714
TH10,TH1043,2013,325,325,231,711,711
TH10,TH1043,2014,367,367,252,687,687
TH10,TH1043,2015,108,108,75,694,694
TH10,TH1043,2016,173,173,119,688,688
TH10,TH1043,2017,218,218,146,670,670
TH10,TH1043,2018,240,240,163,679,679
TH10,TH1043,2020,45,45,31,689,689
TH10,TH1044,2012,385,378,263,683,696
TH10,TH1044,2013,397,397,277,698,698
TH10,TH1044,2014,251,251,171,681,681
TH10,TH1044,2015,189,189,124,656,656
TH10,TH1044,2016,155,155,101,652,652
TH10,TH1044,2017,59,59,39,661,661
TH10,TH1044,2018,104,104,69,663,663
TH10,TH1044,2020,90,90,63,700,700
TH10,TH1046,2012,21785,21572,14971,687,694
TH10,TH1046,2013,18187,17856,12499,687,700
TH10,TH1046,2014,16694,16688,11615,696,696
TH10,TH1046,2015,14277,14189,9734,682,686
TH10,TH1046,2016,16714,16509,11127,666,674
TH10,TH1046,2017,15383,15383,10260,667,667
TH10,TH1046,2018,15475,15443,10347,669,670
TH10,TH1046,2020,15110,15090,10276,680,681
TH10,TH1048,2012,802,790,525,655,665
TH10,TH1048,2013,1282,1282,873,681,681
TH10,TH1048,2014,884,884,576,652,652
TH10,TH1048,2015,624,624,412,660,660
TH10,TH1048,2016,885,885,582,658,658
TH10,TH1048,2017,836,836,556,665,665
TH10,TH1048,2018,497,497,308,620,620
TH10,TH1048,2020,495,495,331,669,669
TH10,TH1050,2013,33,33,22,677,677
TH11,TH1102,2012,36975,36829,29426,796,799
TH11,TH1102,2013,24585,24435,19597,797,802
TH11,TH1102,2014,28669,28594,22932,800,802
TH11,TH1102,2015,15802,15733,11611,735,738
TH11,TH1102,2016,14112,14009,10787,764,770
TH11,TH1102,2017,15283,15226,11450,749,752
TH11,TH1102,2018,14352,14331,10333,720,721
TH11,TH1103,2012,210,210,176,838,838
TH11,TH1103,2013,1873,1850,797,426,431
TH11,TH1103,2014,1973,1973,805,408,408
TH11,TH1103,2015,1785,1745,715,401,410
TH11,TH1103,2016,1861,1846,803,431,435
TH11,TH1103,2017,1464,1439,619,423,430
TH11,TH1103,2018,1671,1671,752,450,450
TH11,TH1106,2012,7954,7954,6443,810,810
TH11,TH1106,2013,7953,7913,6425,808,812
TH11,TH1106,2014,9720,9693,7590,781,783
TH11,TH1106,2015,5688,5536,4235,745,765
TH11,TH1106,2016,4656,4650,3501,752,753
TH11,TH1106,2017,5040,5033,3800,754,755
TH11,TH1106,2018,4149,4140,2915,703,704
TH11,TH1106,2020,4166,4158,3044,731,732
TH12,TH1201,2012,25,25,19,760,760
TH12,TH1201,2013,25,25,19,760,760
TH12,TH1201,2014,25,25,18,720,720
TH12,TH1201,2015,25,25,18,720,720
TH12,TH1201,2016,25,25,18,720,720
TH12,TH1201,2017,25,25,18,720,720
TH12,TH1201,2018,25,25,18,720,720
